m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
1.4520177525382851,0.4875775214933291,5.9038827559257,7960870.417686487,6291521672736118.0,13.804341824355797,0.08745517338923343,1.8355226763362922,0.3980871478822075,0.20741015358629536,radiative
1.4567091403336556,0.48915441162697676,5.823663135025745,7932478.020023117,6183930714792974.0,13.804551674449204,0.08473281898233827,1.8428399325200602,0.3980815386593338,0.2069565537109522,radiative
1.466834143916008,0.49259714220317735,5.652117538724805,7870931.694428698,5955269446397844.0,13.80498243376048,0.07907566206332352,1.8636240173260874,0.39806911174048476,0.20650139544280147,radiative
1.4878798237698085,0.4999342651677225,5.3025662538616904,7741664.574525276,5495340510276924.0,13.805786734386198,0.06822767730903603,1.9084475287138234,0.3980418990593284,0.20556242748088652,radiative
1.508264404572891,0.5072911338944303,4.973066670985646,7614611.972802624,5069401359422394.0,13.806458650835705,0.05882256421341943,1.9541210906185313,0.39801361886484243,0.2046608892664355,radiative
1.5280011291914817,0.5146698439771189,4.662584391974695,7489716.708626415,4675064245400879.0,13.80701932403565,0.05067431663303764,2.0006723482653377,0.3979842552759328,0.20379393169948776,radiative
1.5471033411028217,0.5220723842862791,4.370129374612733,7366924.991117436,4310099625736402.5,13.807486626294782,0.043620199965987254,2.0481291830925668,0.3979537903671189,0.20295884011306373,radiative
1.565584468262982,0.5295006491306757,4.094754638488064,7246186.110610949,3972426165250164.0,13.807875649751862,0.037517910275741355,2.096519708449628,0.3979222041200078,0.20215300975378353,radiative
1.5834580067324533,0.5369564497162143,3.8355549746713264,7127452.164172532,3660101392212381.0,13.808199124297268,0.03224307648630761,2.1458722573213653,0.39788947435008654,0.20137392258712322,radiative
1.600737375030207,0.5444414680378427,3.5916674584699226,7010678.691942344,3371315064839691.5,13.808467772981029,0.027687095641534848,2.196214974482183,0.39785557686966594,0.20061913067156104,radiative
1.6174518826590463,0.5519645918080242,3.3620533095204514,6895713.5979289645,3104130665681558.0,13.808690815748205,0.023751629903019014,2.2476262057438023,0.3978204506849253,0.19988553068275544,radiative
1.6316539382074375,0.5585945601752818,3.17185201564519,6796357.446032096,2886404038009138.0,13.808854814169539,0.020746756718104487,2.2936147186161033,0.397788610393721,0.199257810916117,radiative
1.6472895139180286,0.5661685262672712,2.9676854030003277,6685068.689136876,2656474255252673.0,13.809011057473283,0.017773861748254734,2.345965537153455,0.3977512018617195,0.19847663543878016,radiative
1.6623946910840135,0.5737833127605055,2.7756472224219486,6575610.784523208,2443974511975685.0,13.809140315096094,0.01521330196113692,2.397472033003169,0.3977123370637636,0.19753830706056916,radiative
1.6769835314952017,0.5814415451870191,2.595044230894705,6467988.663361457,2247632713600870.2,13.809247124022427,0.01301005854792392,2.449408837498766,0.39767188692044,0.19654582865087192,radiative
1.691139224725431,0.5891846339274679,2.4244036238136935,6361667.076660158,2065394122600288.8,13.809335681168351,0.011107235165804091,2.5019664247531126,0.3976295164426272,0.19548214249119625,radiative
